"Month","csgo_peak","dota2_peak","pubg_peak","gta5_peak","rainbow6_peak","ark_peak"
"May 2018",454481,844713,2175704,82956,142362,50021
"June 2018",420261,796886,1750216,118332,141630,79451
"July 2018",426008,701582,1350463,162021,116054,70823
"August 2018",454370,829281,1260894,123556,134159,50789
"September 2018",583029,826166,1125229,97920,143866,49072
"October 2018",565968,739643,1048662,81337,123794,49049
"November 2018",546031,826053,895650,81360,115820,106170
"December 2018",746548,765422,1109766,120693,129558,76351
"January 2019",684511,874888,1084606,118210,137434,58388
"February 2019",654069,964921,931754,119439,136018,52697
"March 2019",680071,1033925,931407,126518,134776,56169
"April 2019",621614,971545,886255,91586,124989,54895
"May 2019",588453,997341,817595,108557,115381,55915
"June 2019",587724,865374,745960,109164,140274,83446
"July 2019",578933,779160,745224,197555,128458,75524
"August 2019",647461,826690,750941,176207,138827,70047
"September 2019",720052,753996,660864,135072,148365,56829
"October 2019",747937,739924,637870,117002,125590,54069
"November 2019",758412,708517,695920,138540,123848,62857
"December 2019",767060,685165,686239,204137,138681,66043
"January 2020",817229,616415,645414,214796,157948,74200
"February 2020",916996,663812,606689,267360,178824,138648
"March 2020",1145972,743933,562028,209493,198567,157355
"April 2020",1305714,801121,913075,243284,194102,125636
